"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Sep 18 20:08:16 GMT 2023","Mon Sep 18 20:08:16 GMT 2023","2","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoTest","com.qacart.todo.testcases.TodoTest","addNewTodoSuccessfully","addNewTodoSuccessfully",""
"broken","Mon Sep 18 20:08:16 GMT 2023","Mon Sep 18 20:08:16 GMT 2023","1","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoTest","com.qacart.todo.testcases.TodoTest","setup","setup",""
"skipped","Mon Sep 18 20:08:16 GMT 2023","Mon Sep 18 20:08:16 GMT 2023","0","Surefire suite","Surefire test","com.qacart.todo.testcases.LoginTest","com.qacart.todo.testcases.LoginTest","LoginWithEmailAndPasswordSuccessfully","LoginWithEmailAndPasswordSuccessfully",""
"skipped","Mon Sep 18 20:08:16 GMT 2023","Mon Sep 18 20:08:16 GMT 2023","0","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoTest","com.qacart.todo.testcases.TodoTest","deleteTodoSuccessfully","deleteTodoSuccessfully",""
"broken","Mon Sep 18 20:08:16 GMT 2023","Mon Sep 18 20:08:16 GMT 2023","1","Surefire suite","Surefire test","com.qacart.todo.testcases.LoginTest","com.qacart.todo.testcases.LoginTest","setup","setup",""
